,Advert_No,Price,Room_Count,Meter_Square,Build_Age,Town,Neighbourhood
1145,84028-578,                1100000                 ,4,125,12,Karatay,Sarıyakup
1146,129076-44,                1450000                 ,4,160,6,Karatay,Mengene
1147,89044-173,                1050000                 ,4,310,18,Ereğli,BatıElagözlü
1148,132493-25,                1470000                 ,4,165,10,Karatay,Hacıyusufmescit
1149,125652-438,                13000000                 ,9,350,0,Selçuklu,Buhara
1150,66538-1332,                5500000                 ,6,225,0,Meram,Alavardı
1151,135595-12,                1860000                 ,4,200,0,Karatay,Başak
1152,124511-307,                700000                 ,2,70,0,Ereğli,Toros
1153,128842-343,                1550000                 ,4,185,11,Çumra,İzzetbey
1154,46557-1785,                1475000                 ,4,155,5,Meram,Uluırmak
1155,120656-447,                1780000                 ,4,160,25,Karatay,Ulubatlıhasan
1156,112034-112,                2250000                 ,4,220,20,Selçuklu,Erenköy
1157,103244-230,                1380000                 ,3,125,5,Selçuklu,MehmetAkif
1158,121254-204,                1600000                 ,4,130,2,Meram,Harmancık
1159,54167-675,                1250000                 ,3,125,3,Karatay,Köprübaşı
1160,117084-257,                1470000                 ,3,125,25,Selçuklu,Malazgirt
1161,120991-206,                1250000                 ,4,159,10,Selçuklu,Yazır
1162,70173-838,                5000000                 ,6,260,2,Halkapınar,İvriz
1163,125838-233,                1050000                 ,3,120,8,Karatay,Doğuş
1164,121639-109,                1130000                 ,4,140,20,Ereğli,BatıElagözlü
1165,92949-729,                3500000                 ,8,426,0,Karatay,Karaaslandede
1166,66464-391,                5000000                 ,5,210,1,Meram,Yenişehir
1167,89673-1554,                1790000                 ,4,180,18,Selçuklu,Yazır
1168,135724-36,                1850000                 ,4,460,5,Seydişehir,Pınarbaşı
1169,0-40454374,                1050000                 ,4,106,13,Cihanbeyli,Göktepe
1170,0-40438269,                955000                 ,2,75,1,Ereğli,Barbaros
1171,0-40430891,                1150000                 ,4,155,11,Karatay,HacıHasan
1172,132304-30,                2500                 ,4,155,0,Selçuklu,Şeker
1173,130592-127,                2300000                 ,4,165,0,Selçuklu,Hanaybaşı
1174,129462-189,                1820000                 ,3,120,0,Ereğli,Dalmaz
1175,136295-11,                6150000                 ,4,160,4,Meram,Kozağaç
1176,133379-31,                1550000                 ,3,100,3,Karatay,Akabe
1177,135542-12,                1670000                 ,4,150,0,Karatay,Hacıibalı
1178,133987-27,                1550000                 ,3,140,30,Meram,Havzan
1179,131193-98,                1800000                 ,4,140,0,Selçuklu,SelahaddinEyyubi
1180,133342-71,                1445000                 ,4,165,11,Selçuklu,Sancak
1181,133265-30,                2500000                 ,4,175,4,Meram,Aymanas
1182,129990-73,                2650000                 ,5,150,8,Ereğli,Belceağaç
1183,121689-29,                8200000                 ,6,550,0,Selçuklu,Erenköy
1184,132282-24,                1400000                 ,4,240,20,Kulu,Cumhuriyet
1185,112892-713,                2450000                 ,4,160,0,Ereğli,Fatih
1186,56692-905,                1050000                 ,4,198,2,Kulu,FatihSultanMehmet
1187,128140-124,                2350000                 ,4,165,8,Meram,Uzunharmanlar
1188,129814-106,                1650000                 ,4,150,0,Selçuklu,SelahaddinEyyubi
1189,96769-519,                1650000                 ,4,160,15,Meram,Alavardı
1190,119637-277,                5150000                 ,7,485,15,Selçuklu,SilleAk
1191,112660-610,                1350000                 ,4,165,8,Ereğli,ZiyaGökalp
1192,135835-24,                1659000                 ,4,140,1,Karatay,Doğuş
1193,133554-24,                1600000                 ,3,130,0,Karatay,HacıHasan
1194,84875-722,                14000000                 ,10,440,0,Meram,Lalebahçe
1195,93052-179,                2650000                 ,5,225,4,Selçuklu,Şeker
1196,99983-506,                1650000                 ,3,140,0,Selçuklu,Sancak
1197,64652-425,                1900000                 ,3,125,0,Selçuklu,Akşemsettin
1198,125683-780,                1000000                 ,2,80,8,Selçuklu,Beyhekim
1199,78825-540,                785000                 ,4,155,25,Selçuklu,İhsaniye
1200,124309-81,                2850000                 ,4,180,0,Selçuklu,SelahaddinEyyubi
1201,120987-203,                2500000                 ,4,165,0,Selçuklu,SelahaddinEyyubi
1202,128032-279,                950000                 ,4,167,0,Meram,Uluırmak
1203,60956-1397,                1375000                 ,4,170,21,Selçuklu,MusallaBağları
1204,0-40274568,                1900000                 ,4,160,5,Karatay,Ulubatlıhasan
1205,133494-65,                1780000                 ,4,196,5,Ereğli,Barbaros
1206,133319-21,                1325000                 ,3,120,0,Karatay,Yediler
1207,89044-170,                1100000                 ,3,125,30,Ereğli,HacıMütahir
1208,121431-840,                1540000                 ,4,150,21,Selçuklu,MehmetAkif
1209,127826-292,                2750000                 ,5,185,13,Selçuklu,SelahaddinEyyubi
1210,125652-437,                7000000                 ,5,380,0,Selçuklu,HüsamettinÇelebi
1211,66538-1325,                3600000                 ,5,230,8,Selçuklu,Selçuk
1212,29281-1958,                3650000                 ,5,220,0,Selçuklu,Şeker
1213,73671-1119,                5150000                 ,4,240,16,Meram,Havzan
1214,128842-312,                1695000                 ,4,140,3,Selçuklu,Akşemsettin
1215,80269-1091,                10750000                 ,5,405,1,Selçuklu,Erenköy
1216,88418-65,                1690000                 ,4,165,5,Karatay,Hacıveyiszade
1217,129467-182,                2300000                 ,3,150,6,Karatay,Erler
1218,65040-50,                3950000                 ,4,170,15,Meram,Hatıp
1219,129429-58,                1690000                 ,6,175,200,Beyşehir,İçerişehir
1220,134843-13,                2100000                 ,4,195,18,Selçuklu,Parsana
1221,131179-39,                1250000                 ,4,165,18,Beyşehir,Yeni
1222,129080-34,                780000                 ,2,65,1,Ereğli,Toros
1223,112034-163,                1275000                 ,4,165,8,Karatay,Akifpaşa
1224,126181-163,                1650000                 ,4,155,0,Ereğli,Fatih
1225,62297-250,                2000000                 ,4,160,20,Meram,Alavardı
1226,123369-116,                3500000                 ,5,220,0,Meram,Bahçeşehir
1227,126004-31,                1570000                 ,4,160,3,Karatay,Mengene
1228,0-40224726,                800000                 ,4,200,15,Kulu,Yeni
1229,57166-525,                2420000                 ,4,190,4,Selçuklu,Kosova
1230,128972-399,                1785000                 ,3,130,0,Selçuklu,Hocacihan
1231,56827-291,                1200000                 ,2,95,7,Meram,Aşkan
1232,103244-260,                4250000                 ,5,260,2,Selçuklu,Erenköy
1233,124132-250,                1100000                 ,3,120,25,Meram,Melikşah
1234,132511-30,                1275000                 ,4,120,5,Beyşehir,Bahçelievler
1235,132088-71,                2100000                 ,5,210,0,Karatay,Hacıyusufmescit
1236,136295-9,                2600000                 ,4,275,11,Selçuklu,Dumlupınar
1237,130018-14,                4350000                 ,5,190,0,Meram,Alavardı
1238,132181-61,                1685000                 ,4,160,8,Ereğli,Aydınlar
1239,136312-3,                1250000                 ,4,175,2,Kulu,Alparslan
1240,131537-27,                12550000                 ,8,495,2,Meram,Aşkan
1241,131193-95,                1330000                 ,4,160,4,Karatay,Hasandedemescit
1242,129990-67,                1550000                 ,4,175,1,Ereğli,Barbaros
1243,133265-14,                1600000                 ,4,160,7,Karatay,Çimenlik
1244,121689-28,                830000                 ,3,90,21,Selçuklu,Parsana
1245,58332-412,                2300000                 ,4,165,0,Selçuklu,SelahaddinEyyubi
1246,56692-904,                800000                 ,4,200,15,Kulu,Yeni
1247,57416-356,                1000000                 ,4,165,25,Selçuklu,MehmetAkif
1248,134878-14,                2150000                 ,4,160,0,Karatay,Ulubatlıhasan
1249,57068-61,                1600000                 ,4,160,0,Selçuklu,Kosova
1250,129814-104,                1800000                 ,4,160,15,Selçuklu,Parsana
1251,128140-115,                3100000                 ,7,480,22,Selçuklu,Erenköy
1252,92645-294,                940000                 ,4,125,30,Selçuklu,Cumhuriyet
1253,85537-590,                2000000                 ,7,200,5,Selçuklu,Dumlupınar
